Gm,Tm,H_A,Opp,Result,R,RA,Inn,GB,D/N,Orig_Scheduled,Year,home_team,away_team,home_score,away_score,month,day,date
1,LAA,A,SEA,L,1,4,NA,1.0,D,NA,2015,SEA,LAA,4,1,4,6,2015-04-06
2,LAA,A,SEA,W,2,0,NA,0.5,N,NA,2015,SEA,LAA,0,2,4,7,2015-04-07
3,LAA,A,SEA,W,5,3,NA,Tied,N,NA,2015,SEA,LAA,3,5,4,8,2015-04-08
4,LAA,H,KCR,L,2,4,NA,0.5,N,NA,2015,LAA,KCR,2,4,4,10,2015-04-10
5,LAA,H,KCR,L,4,6,NA,0.5,N,NA,2015,LAA,KCR,4,6,4,11,2015-04-11
6,LAA,H,KCR,L,2,9,NA,1.0,D,NA,2015,LAA,KCR,2,9,4,12,2015-04-12
7,LAA,A,TEX,W,6,3,NA,0.5,N,NA,2015,TEX,LAA,3,6,4,13,2015-04-13
8,LAA,A,TEX,L,2,8,NA,1.5,N,NA,2015,TEX,LAA,8,2,4,14,2015-04-14
9,LAA,A,TEX,W,10,2,NA,0.5,D,NA,2015,TEX,LAA,2,10,4,15,2015-04-15
10,LAA,A,HOU,W,6,3,NA,up 0.5,N,NA,2015,HOU,LAA,3,6,4,17,2015-04-17
11,LAA,A,HOU,L,0,4,NA,0.5,N,NA,2015,HOU,LAA,4,0,4,18,2015-04-18
12,LAA,A,HOU,L,3,4,NA,1.0,D,NA,2015,HOU,LAA,4,3,4,19,2015-04-19
13,LAA,H,OAK,L,3,6,NA,2.0,N,NA,2015,LAA,OAK,3,6,4,20,2015-04-20
14,LAA,H,OAK,W,14,1,NA,2.0,N,NA,2015,LAA,OAK,14,1,4,21,2015-04-21
15,LAA,H,OAK,L,2,9,NA,2.0,N,NA,2015,LAA,OAK,2,9,4,22,2015-04-22
16,LAA,H,OAK,W,2,0,NA,1.5,D,NA,2015,LAA,OAK,2,0,4,23,2015-04-23
17,LAA,H,TEX,W,3,2,NA,1.5,N,NA,2015,LAA,TEX,3,2,4,24,2015-04-24
18,LAA,H,TEX,W,4,1,NA,1.5,N,NA,2015,LAA,TEX,4,1,4,25,2015-04-25
19,LAA,H,TEX,L,4,5,11,2.5,D,NA,2015,LAA,TEX,4,5,4,26,2015-04-26
20,LAA,A,OAK,L,2,6,NA,4.0,N,NA,2015,OAK,LAA,6,2,4,28,2015-04-28
21,LAA,A,OAK,W,6,3,NA,4.0,N,NA,2015,OAK,LAA,3,6,4,29,2015-04-29
22,LAA,A,OAK,W,6,5,NA,4.0,D,NA,2015,OAK,LAA,5,6,4,30,2015-04-30
23,LAA,A,SFG,L-wo,2,3,NA,5.0,N,NA,2015,SFG,LAA,3,2,5,1,2015-05-01
24,LAA,A,SFG,L,4,5,NA,6.0,D,NA,2015,SFG,LAA,5,4,5,2,2015-05-02
25,LAA,A,SFG,L,0,5,NA,7.0,D,NA,2015,SFG,LAA,5,0,5,3,2015-05-03
26,LAA,H,SEA,L,2,3,NA,7.0,N,NA,2015,LAA,SEA,2,3,5,4,2015-05-04
27,LAA,H,SEA,W-wo,5,4,NA,6.0,N,NA,2015,LAA,SEA,5,4,5,5,2015-05-05
28,LAA,H,SEA,W-wo,4,3,NA,5.0,N,NA,2015,LAA,SEA,4,3,5,6,2015-05-06
29,LAA,H,HOU,L,2,3,NA,6.0,N,NA,2015,LAA,HOU,2,3,5,7,2015-05-07
30,LAA,H,HOU,W,2,0,NA,5.0,N,NA,2015,LAA,HOU,2,0,5,8,2015-05-08
31,LAA,H,HOU,L,5,6,NA,6.0,N,NA,2015,LAA,HOU,5,6,5,9,2015-05-09
32,LAA,H,HOU,W,3,1,NA,5.0,D,NA,2015,LAA,HOU,3,1,5,10,2015-05-10
33,LAA,H,COL,W,5,2,NA,4.0,N,NA,2015,LAA,COL,5,2,5,12,2015-05-12
34,LAA,H,COL,W-wo,2,1,11,4.0,N,NA,2015,LAA,COL,2,1,5,13,2015-05-13
35,LAA,A,BAL,W,3,1,NA,4.5,N,NA,2015,BAL,LAA,1,3,5,15,2015-05-15
36,LAA,A,BAL,W,6,1,NA,4.5,N,NA,2015,BAL,LAA,1,6,5,16,2015-05-16
37,LAA,A,BAL,L,0,3,NA,5.5,D,NA,2015,BAL,LAA,3,0,5,17,2015-05-17
38,LAA,A,TOR,L,6,10,NA,5.5,D,NA,2015,TOR,LAA,10,6,5,18,2015-05-18
39,LAA,A,TOR,W,3,2,NA,5.5,N,NA,2015,TOR,LAA,2,3,5,19,2015-05-19
40,LAA,A,TOR,W,4,3,NA,5.5,N,NA,2015,TOR,LAA,3,4,5,20,2015-05-20
41,LAA,A,TOR,L,4,8,NA,5.5,N,NA,2015,TOR,LAA,8,4,5,21,2015-05-21
42,LAA,A,BOS,W,12,5,NA,4.5,N,NA,2015,BOS,LAA,5,12,5,22,2015-05-22
43,LAA,A,BOS,L,3,8,NA,5.5,N,NA,2015,BOS,LAA,8,3,5,23,2015-05-23
44,LAA,A,BOS,L,1,6,NA,6.5,D,NA,2015,BOS,LAA,6,1,5,24,2015-05-24
45,LAA,H,SDP,W-wo,4,3,NA,5.5,N,NA,2015,LAA,SDP,4,3,5,25,2015-05-25
46,LAA,H,SDP,L,0,4,10,6.5,N,NA,2015,LAA,SDP,0,4,5,26,2015-05-26
47,LAA,H,SDP,L,4,5,NA,6.5,N,NA,2015,LAA,SDP,4,5,5,27,2015-05-27
48,LAA,H,DET,W,12,2,NA,6.0,N,NA,2015,LAA,DET,12,2,5,28,2015-05-28
49,LAA,H,DET,W,2,0,NA,5.0,N,NA,2015,LAA,DET,2,0,5,29,2015-05-29
50,LAA,H,DET,W,8,6,NA,5.0,N,NA,2015,LAA,DET,8,6,5,30,2015-05-30
51,LAA,H,DET,W,4,2,NA,4.0,N,NA,2015,LAA,DET,4,2,5,31,2015-05-31
52,LAA,H,TBR,W,7,3,NA,4.0,N,NA,2015,LAA,TBR,7,3,6,1,2015-06-01
53,LAA,H,TBR,L,1,6,NA,5.0,N,NA,2015,LAA,TBR,1,6,6,2,2015-06-02
54,LAA,H,TBR,L,5,6,10,6.0,N,NA,2015,LAA,TBR,5,6,6,3,2015-06-03
55,LAA,A,NYY,L,7,8,NA,5.5,N,NA,2015,NYY,LAA,8,7,6,5,2015-06-05
56,LAA,A,NYY,L,2,8,NA,5.5,N,NA,2015,NYY,LAA,8,2,6,6,2015-06-06
57,LAA,A,NYY,L,2,6,NA,5.5,D,NA,2015,NYY,LAA,6,2,6,7,2015-06-07
58,LAA,A,TBR,W,8,2,NA,4.0,N,NA,2015,TBR,LAA,2,8,6,9,2015-06-09
59,LAA,A,TBR,L,2,4,NA,4.0,N,NA,2015,TBR,LAA,4,2,6,10,2015-06-10
60,LAA,A,TBR,W,6,2,NA,3.5,N,NA,2015,TBR,LAA,2,6,6,11,2015-06-11
61,LAA,H,OAK,W,5,4,NA,3.5,N,NA,2015,LAA,OAK,5,4,6,12,2015-06-12
62,LAA,H,OAK,W,1,0,NA,2.5,N,NA,2015,LAA,OAK,1,0,6,13,2015-06-13
63,LAA,H,OAK,L,1,8,NA,3.5,D,NA,2015,LAA,OAK,1,8,6,14,2015-06-14
64,LAA,H,ARI,L,3,7,NA,4.5,N,NA,2015,LAA,ARI,3,7,6,15,2015-06-15
65,LAA,H,ARI,W,4,1,NA,4.5,N,NA,2015,LAA,ARI,4,1,6,16,2015-06-16
66,LAA,A,ARI,L,2,3,NA,5.5,N,NA,2015,ARI,LAA,3,2,6,17,2015-06-17
67,LAA,A,ARI,W,7,1,NA,5.5,D,NA,2015,ARI,LAA,1,7,6,18,2015-06-18
68,LAA,A,OAK,W,12,7,NA,4.5,N,NA,2015,OAK,LAA,7,12,6,19,2015-06-19
69,LAA,A,OAK,L,1,4,NA,4.5,D,NA,2015,OAK,LAA,4,1,6,20,2015-06-20
70,LAA,A,OAK,L,2,3,NA,5.5,D,NA,2015,OAK,LAA,3,2,6,21,2015-06-21
71,LAA,H,HOU,W,4,3,NA,4.5,N,NA,2015,LAA,HOU,4,3,6,22,2015-06-22
72,LAA,H,HOU,L,3,13,NA,5.5,N,NA,2015,LAA,HOU,3,13,6,23,2015-06-23
73,LAA,H,HOU,W-wo,2,1,13,4.5,D,NA,2015,LAA,HOU,2,1,6,24,2015-06-24
74,LAA,H,SEA,L,1,3,NA,5.0,N,NA,2015,LAA,SEA,1,3,6,26,2015-06-26
75,LAA,H,SEA,W,4,2,NA,4.0,D,NA,2015,LAA,SEA,4,2,6,27,2015-06-27
76,LAA,H,SEA,W-wo,3,2,10,4.0,D,NA,2015,LAA,SEA,3,2,6,28,2015-06-28
77,LAA,H,NYY,W,4,1,NA,4.0,N,NA,2015,LAA,NYY,4,1,6,29,2015-06-29
78,LAA,H,NYY,W,2,1,NA,4.0,N,NA,2015,LAA,NYY,2,1,6,30,2015-06-30
79,LAA,H,NYY,L,1,3,NA,5.0,D,NA,2015,LAA,NYY,1,3,7,1,2015-07-01
80,LAA,A,TEX,W,8,2,NA,5.0,N,NA,2015,TEX,LAA,2,8,7,3,2015-07-03
81,LAA,A,TEX,W,13,0,NA,4.0,N,NA,2015,TEX,LAA,0,13,7,4,2015-07-04
82,LAA,A,TEX,W,12,6,NA,3.0,N,NA,2015,TEX,LAA,6,12,7,5,2015-07-05
83,LAA,A,COL,W,10,2,NA,2.5,N,NA,2015,COL,LAA,2,10,7,7,2015-07-07
84,LAA,A,COL,W,3,2,NA,1.5,N,NA,2015,COL,LAA,2,3,7,8,2015-07-08
85,LAA,A,SEA,L,2,7,NA,1.5,N,NA,2015,SEA,LAA,7,2,7,9,2015-07-09
86,LAA,A,SEA,W,7,3,NA,0.5,N,NA,2015,SEA,LAA,3,7,7,10,2015-07-10
87,LAA,A,SEA,L,0,5,NA,0.5,N,NA,2015,SEA,LAA,5,0,7,11,2015-07-11
88,LAA,A,SEA,W,10,3,NA,up 0.5,D,NA,2015,SEA,LAA,3,10,7,12,2015-07-12
89,LAA,H,BOS,W-wo,1,0,NA,up 0.5,N,NA,2015,LAA,BOS,1,0,7,17,2015-07-17
90,LAA,H,BOS,W,3,0,NA,up 1.5,N,NA,2015,LAA,BOS,3,0,7,18,2015-07-18
91,LAA,H,BOS,W,11,1,NA,up 2.0,D,2015-07-19 (Rain),2015,LAA,BOS,11,1,7,20,2015-07-20
92,LAA,H,BOS,W,7,3,NA,up 2.0,N,NA,2015,LAA,BOS,7,3,7,20,2015-07-20
93,LAA,H,MIN,W,7,0,NA,up 2.0,N,NA,2015,LAA,MIN,7,0,7,21,2015-07-21
94,LAA,H,MIN,W,5,2,NA,up 2.0,N,NA,2015,LAA,MIN,5,2,7,22,2015-07-22
95,LAA,H,MIN,L,0,3,NA,up 1.0,D,NA,2015,LAA,MIN,0,3,7,23,2015-07-23
96,LAA,H,TEX,L,2,4,NA,Tied,N,NA,2015,LAA,TEX,2,4,7,24,2015-07-24
97,LAA,H,TEX,L,6,7,NA,Tied,N,NA,2015,LAA,TEX,6,7,7,25,2015-07-25
98,LAA,H,TEX,W,13,7,NA,up 1.0,D,NA,2015,LAA,TEX,13,7,7,26,2015-07-26
99,LAA,A,HOU,L,5,10,NA,Tied,N,NA,2015,HOU,LAA,10,5,7,28,2015-07-28
100,LAA,A,HOU,L,3,6,NA,1.0,N,NA,2015,HOU,LAA,6,3,7,29,2015-07-29
101,LAA,A,HOU,L-wo,0,3,NA,2.0,N,NA,2015,HOU,LAA,3,0,7,30,2015-07-30
102,LAA,A,LAD,L,3,5,NA,2.0,N,NA,2015,LAD,LAA,5,3,7,31,2015-07-31
103,LAA,A,LAD,L,1,3,NA,3.0,D,NA,2015,LAD,LAA,3,1,8,1,2015-08-01
104,LAA,A,LAD,L-wo,3,5,10,4.0,D,NA,2015,LAD,LAA,5,3,8,2,2015-08-02
105,LAA,H,CLE,W,5,4,NA,3.0,N,NA,2015,LAA,CLE,5,4,8,3,2015-08-03
106,LAA,H,CLE,L,0,2,12,3.0,N,NA,2015,LAA,CLE,0,2,8,4,2015-08-04
107,LAA,H,CLE,W-wo,4,3,NA,2.0,D,NA,2015,LAA,CLE,4,3,8,5,2015-08-05
108,LAA,H,BAL,W,8,4,NA,1.5,N,NA,2015,LAA,BAL,8,4,8,7,2015-08-07
109,LAA,H,BAL,L,0,5,NA,1.5,N,NA,2015,LAA,BAL,0,5,8,8,2015-08-08
110,LAA,H,BAL,W-wo,5,4,11,0.5,D,NA,2015,LAA,BAL,5,4,8,9,2015-08-09
111,LAA,A,CHW,L,2,8,NA,1.0,N,NA,2015,CHW,LAA,8,2,8,10,2015-08-10
112,LAA,A,CHW,L,0,3,NA,1.0,N,NA,2015,CHW,LAA,3,0,8,11,2015-08-11
113,LAA,A,CHW,L-wo,2,3,13,2.0,N,NA,2015,CHW,LAA,3,2,8,12,2015-08-12
114,LAA,A,KCR,W,7,6,NA,1.5,N,NA,2015,KCR,LAA,6,7,8,13,2015-08-13
115,LAA,A,KCR,L,1,4,NA,2.5,N,NA,2015,KCR,LAA,4,1,8,14,2015-08-14
116,LAA,A,KCR,L,4,9,NA,2.5,N,NA,2015,KCR,LAA,9,4,8,15,2015-08-15
117,LAA,A,KCR,L-wo,3,4,10,3.5,N,NA,2015,KCR,LAA,4,3,8,16,2015-08-16
118,LAA,H,CHW,W,2,1,NA,2.5,N,NA,2015,LAA,CHW,2,1,8,17,2015-08-17
119,LAA,H,CHW,W,5,3,NA,2.5,N,NA,2015,LAA,CHW,5,3,8,18,2015-08-18
120,LAA,H,CHW,W,1,0,NA,2.5,N,NA,2015,LAA,CHW,1,0,8,19,2015-08-19
121,LAA,H,CHW,L,2,8,NA,2.5,N,NA,2015,LAA,CHW,2,8,8,20,2015-08-20
122,LAA,H,TOR,L,2,9,NA,3.5,N,NA,2015,LAA,TOR,2,9,8,21,2015-08-21
123,LAA,H,TOR,L,3,15,NA,4.5,N,NA,2015,LAA,TOR,3,15,8,22,2015-08-22
124,LAA,H,TOR,L,5,12,NA,5.5,D,NA,2015,LAA,TOR,5,12,8,23,2015-08-23
125,LAA,A,DET,W,8,7,NA,5.0,N,NA,2015,DET,LAA,7,8,8,25,2015-08-25
126,LAA,A,DET,L,0,5,NA,6.0,N,NA,2015,DET,LAA,5,0,8,26,2015-08-26
127,LAA,A,DET,W,2,0,NA,5.5,D,NA,2015,DET,LAA,0,2,8,27,2015-08-27
128,LAA,A,CLE,L,1,3,NA,5.5,N,NA,2015,CLE,LAA,3,1,8,28,2015-08-28
129,LAA,A,CLE,L,3,8,NA,6.5,N,NA,2015,CLE,LAA,8,3,8,29,2015-08-29
130,LAA,A,CLE,L,2,9,NA,6.5,D,NA,2015,CLE,LAA,9,2,8,30,2015-08-30
131,LAA,A,OAK,L,5,11,NA,7.5,N,NA,2015,OAK,LAA,11,5,8,31,2015-08-31
132,LAA,A,OAK,W,6,2,NA,6.5,N,NA,2015,OAK,LAA,2,6,9,1,2015-09-01
133,LAA,A,OAK,W,9,4,NA,5.5,D,NA,2015,OAK,LAA,4,9,9,2,2015-09-02
134,LAA,H,TEX,W,5,2,NA,5.5,N,NA,2015,LAA,TEX,5,2,9,4,2015-09-04
135,LAA,H,TEX,L,1,2,NA,5.5,N,NA,2015,LAA,TEX,1,2,9,5,2015-09-05
136,LAA,H,TEX,W,7,0,NA,5.5,D,NA,2015,LAA,TEX,7,0,9,6,2015-09-06
137,LAA,H,LAD,L,5,7,NA,5.5,N,NA,2015,LAA,LAD,5,7,9,7,2015-09-07
138,LAA,H,LAD,L,4,6,NA,5.5,N,NA,2015,LAA,LAD,4,6,9,8,2015-09-08
139,LAA,H,LAD,W,3,2,NA,5.5,N,NA,2015,LAA,LAD,3,2,9,9,2015-09-09
140,LAA,H,HOU,W,3,2,NA,4.5,N,NA,2015,LAA,HOU,3,2,9,11,2015-09-11
141,LAA,H,HOU,W,3,2,NA,3.5,N,NA,2015,LAA,HOU,3,2,9,12,2015-09-12
142,LAA,H,HOU,L,3,5,NA,4.5,D,NA,2015,LAA,HOU,3,5,9,13,2015-09-13
143,LAA,A,SEA,L,1,10,NA,4.5,N,NA,2015,SEA,LAA,10,1,9,14,2015-09-14
144,LAA,A,SEA,W,4,3,NA,4.0,N,NA,2015,SEA,LAA,3,4,9,15,2015-09-15
145,LAA,A,SEA,L,1,3,NA,5.0,N,NA,2015,SEA,LAA,3,1,9,16,2015-09-16
146,LAA,A,MIN,W,11,8,NA,5.0,N,NA,2015,MIN,LAA,8,11,9,17,2015-09-17
147,LAA,A,MIN,W,4,3,12,4.0,D,2015-09-18 (Rain),2015,MIN,LAA,3,4,9,19,2015-09-19
148,LAA,A,MIN,W,5,2,NA,4.0,N,NA,2015,MIN,LAA,2,5,9,19,2015-09-19
149,LAA,A,MIN,L,1,8,NA,4.0,D,NA,2015,MIN,LAA,8,1,9,20,2015-09-20
150,LAA,A,HOU,L,3,6,NA,4.5,N,NA,2015,HOU,LAA,6,3,9,21,2015-09-21
151,LAA,A,HOU,W,4,3,NA,4.5,N,NA,2015,HOU,LAA,3,4,9,22,2015-09-22
152,LAA,A,HOU,W,6,5,NA,4.5,D,NA,2015,HOU,LAA,5,6,9,23,2015-09-23
153,LAA,H,SEA,W,8,4,NA,5.0,N,NA,2015,LAA,SEA,8,4,9,25,2015-09-25
154,LAA,H,SEA,W-wo,3,2,NA,4.0,N,NA,2015,LAA,SEA,3,2,9,26,2015-09-26
155,LAA,H,SEA,W,3,2,NA,3.0,D,NA,2015,LAA,SEA,3,2,9,27,2015-09-27
156,LAA,H,OAK,W-wo,5,4,NA,2.0,N,NA,2015,LAA,OAK,5,4,9,28,2015-09-28
157,LAA,H,OAK,W,8,1,NA,2.0,N,NA,2015,LAA,OAK,8,1,9,29,2015-09-29
158,LAA,H,OAK,L,7,8,NA,3.0,D,NA,2015,LAA,OAK,7,8,9,30,2015-09-30
159,LAA,A,TEX,L,3,5,NA,4.0,N,NA,2015,TEX,LAA,5,3,10,1,2015-10-01
160,LAA,A,TEX,W,2,1,NA,3.0,N,NA,2015,TEX,LAA,1,2,10,2,2015-10-02
161,LAA,A,TEX,W,11,10,NA,2.0,D,NA,2015,TEX,LAA,10,11,10,3,2015-10-03
162,LAA,A,TEX,L,2,9,NA,3.0,D,NA,2015,TEX,LAA,9,2,10,4,2015-10-04
1,ARI,H,SFG,L,4,5,NA,1.0,N,NA,2015,ARI,SFG,4,5,4,6,2015-04-06
2,ARI,H,SFG,W,7,6,NA,1.0,N,NA,2015,ARI,SFG,7,6,4,7,2015-04-07
3,ARI,H,SFG,L,2,5,NA,2.0,N,NA,2015,ARI,SFG,2,5,4,8,2015-04-08
4,ARI,H,LAD,W-wo,4,3,10,2.0,N,NA,2015,ARI,LAD,4,3,4,10,2015-04-10
5,ARI,H,LAD,W,6,0,NA,1.0,N,NA,2015,ARI,LAD,6,0,4,11,2015-04-11
6,ARI,H,LAD,L,4,7,NA,1.0,D,NA,2015,ARI,LAD,4,7,4,12,2015-04-12
7,ARI,A,SDP,W,8,4,NA,1.0,N,NA,2015,SDP,ARI,4,8,4,13,2015-04-13
8,ARI,A,SDP,L,1,5,NA,2.0,N,NA,2015,SDP,ARI,5,1,4,14,2015-04-14
9,ARI,A,SDP,L,2,3,NA,3.0,N,NA,2015,SDP,ARI,3,2,4,15,2015-04-15
10,ARI,A,SFG,W,7,6,12,2.5,N,NA,2015,SFG,ARI,6,7,4,16,2015-04-16
11,ARI,A,SFG,W,9,0,NA,1.5,N,NA,2015,SFG,ARI,0,9,4,17,2015-04-17
12,ARI,A,SFG,L,1,4,NA,2.5,N,NA,2015,SFG,ARI,4,1,4,18,2015-04-18
13,ARI,A,SFG,W,5,1,NA,2.5,D,NA,2015,SFG,ARI,1,5,4,19,2015-04-19
14,ARI,H,TEX,L,1,7,NA,2.5,N,NA,2015,ARI,TEX,1,7,4,21,2015-04-21
15,ARI,H,TEX,W,8,5,NA,1.5,N,NA,2015,ARI,TEX,8,5,4,22,2015-04-22
16,ARI,H,PIT,L,1,4,NA,2.0,N,NA,2015,ARI,PIT,1,4,4,24,2015-04-24
17,ARI,H,PIT,L,1,2,NA,3.0,N,NA,2015,ARI,PIT,1,2,4,25,2015-04-25
18,ARI,H,PIT,L,0,8,NA,3.0,D,NA,2015,ARI,PIT,0,8,4,26,2015-04-26
19,ARI,H,COL,L,4,5,NA,4.0,N,NA,2015,ARI,COL,4,5,4,27,2015-04-27
20,ARI,H,COL,W,12,5,NA,3.0,N,NA,2015,ARI,COL,12,5,4,28,2015-04-28
21,ARI,H,COL,W,9,1,NA,3.0,N,NA,2015,ARI,COL,9,1,4,29,2015-04-29
22,ARI,A,LAD,L,0,8,NA,4.0,N,NA,2015,LAD,ARI,8,0,5,1,2015-05-01
23,ARI,A,LAD,L,4,6,NA,5.0,N,NA,2015,LAD,ARI,6,4,5,2,2015-05-02
24,ARI,A,LAD,L-wo,0,1,13,6.0,D,NA,2015,LAD,ARI,1,0,5,3,2015-05-03
25,ARI,A,COL,W,13,7,NA,4.5,D,2015-05-05 (Rain),2015,COL,ARI,7,13,5,6,2015-05-06
26,ARI,A,COL,W,5,1,NA,4.5,N,NA,2015,COL,ARI,1,5,5,6,2015-05-06
27,ARI,H,SDP,W,11,0,NA,4.5,N,NA,2015,ARI,SDP,11,0,5,7,2015-05-07
28,ARI,H,SDP,L,5,6,NA,5.5,N,NA,2015,ARI,SDP,5,6,5,8,2015-05-08
29,ARI,H,SDP,L,4,6,12,6.0,N,NA,2015,ARI,SDP,4,6,5,9,2015-05-09
30,ARI,H,SDP,W,2,1,NA,6.0,D,NA,2015,ARI,SDP,2,1,5,10,2015-05-10
31,ARI,H,WSN,L,1,11,NA,7.0,N,NA,2015,ARI,WSN,1,11,5,11,2015-05-11
32,ARI,H,WSN,W,14,6,NA,7.0,N,NA,2015,ARI,WSN,14,6,5,12,2015-05-12
33,ARI,H,WSN,L,6,9,NA,7.0,D,NA,2015,ARI,WSN,6,9,5,13,2015-05-13
34,ARI,A,PHI,L,3,4,NA,7.5,N,NA,2015,PHI,ARI,4,3,5,15,2015-05-15
35,ARI,A,PHI,L,5,7,NA,7.5,N,NA,2015,PHI,ARI,7,5,5,16,2015-05-16
36,ARI,A,PHI,L,0,6,NA,8.5,D,NA,2015,PHI,ARI,6,0,5,17,2015-05-17
37,ARI,A,MIA,W,3,2,13,8.0,N,NA,2015,MIA,ARI,2,3,5,18,2015-05-18
38,ARI,A,MIA,W,4,2,NA,7.0,N,NA,2015,MIA,ARI,2,4,5,19,2015-05-19
39,ARI,A,MIA,W,6,1,NA,6.0,N,NA,2015,MIA,ARI,1,6,5,20,2015-05-20
40,ARI,A,MIA,W,7,6,NA,5.0,D,NA,2015,MIA,ARI,6,7,5,21,2015-05-21
41,ARI,H,CHC,W-wo,5,4,13,5.0,N,NA,2015,ARI,CHC,5,4,5,22,2015-05-22
42,ARI,H,CHC,L,6,9,NA,6.0,N,NA,2015,ARI,CHC,6,9,5,23,2015-05-23
43,ARI,H,CHC,W,4,3,NA,5.0,D,NA,2015,ARI,CHC,4,3,5,24,2015-05-24
44,ARI,A,STL,L-wo,2,3,10,6.0,D,NA,2015,STL,ARI,3,2,5,25,2015-05-25
45,ARI,A,STL,L,4,6,NA,7.0,N,NA,2015,STL,ARI,6,4,5,26,2015-05-26
46,ARI,A,STL,L-wo,3,4,NA,7.0,N,NA,2015,STL,ARI,4,3,5,27,2015-05-27
47,ARI,A,MIL,W,7,5,NA,6.5,N,NA,2015,MIL,ARI,5,7,5,29,2015-05-29
48,ARI,A,MIL,W,7,3,NA,6.0,D,NA,2015,MIL,ARI,3,7,5,30,2015-05-30
49,ARI,A,MIL,L-wo,6,7,17,6.0,D,NA,2015,MIL,ARI,7,6,5,31,2015-05-31
50,ARI,H,ATL,L,1,8,NA,7.0,N,NA,2015,ARI,ATL,1,8,6,1,2015-06-01
51,ARI,H,ATL,W,7,6,NA,6.5,N,NA,2015,ARI,ATL,7,6,6,2,2015-06-02
52,ARI,H,ATL,W,9,8,NA,5.5,D,NA,2015,ARI,ATL,9,8,6,3,2015-06-03
53,ARI,H,NYM,L,2,6,NA,5.5,N,NA,2015,ARI,NYM,2,6,6,4,2015-06-04
54,ARI,H,NYM,W,7,2,NA,4.5,N,NA,2015,ARI,NYM,7,2,6,5,2015-06-05
55,ARI,H,NYM,W,2,1,NA,4.5,N,NA,2015,ARI,NYM,2,1,6,6,2015-06-06
56,ARI,H,NYM,L,3,6,NA,4.5,D,NA,2015,ARI,NYM,3,6,6,7,2015-06-07
57,ARI,A,LAD,L,3,9,NA,5.5,N,NA,2015,LAD,ARI,9,3,6,8,2015-06-08
58,ARI,A,LAD,L,1,3,NA,6.5,N,NA,2015,LAD,ARI,3,1,6,9,2015-06-09
59,ARI,A,LAD,L-wo,6,7,NA,7.5,N,NA,2015,LAD,ARI,7,6,6,10,2015-06-10
60,ARI,A,SFG,W,1,0,NA,7.5,N,NA,2015,SFG,ARI,0,1,6,12,2015-06-12
61,ARI,A,SFG,W,4,2,NA,6.5,D,NA,2015,SFG,ARI,2,4,6,13,2015-06-13
62,ARI,A,SFG,W,4,0,NA,6.5,D,NA,2015,SFG,ARI,0,4,6,14,2015-06-14
63,ARI,A,LAA,W,7,3,NA,5.5,N,NA,2015,LAA,ARI,3,7,6,15,2015-06-15
64,ARI,A,LAA,L,1,4,NA,5.5,N,NA,2015,LAA,ARI,4,1,6,16,2015-06-16
65,ARI,H,LAA,W,3,2,NA,4.5,N,NA,2015,ARI,LAA,3,2,6,17,2015-06-17
66,ARI,H,LAA,L,1,7,NA,5.5,D,NA,2015,ARI,LAA,1,7,6,18,2015-06-18
67,ARI,H,SDP,W,4,2,NA,4.5,N,NA,2015,ARI,SDP,4,2,6,19,2015-06-19
68,ARI,H,SDP,L,1,8,NA,4.5,N,NA,2015,ARI,SDP,1,8,6,20,2015-06-20
69,ARI,H,SDP,W,7,2,NA,4.5,D,NA,2015,ARI,SDP,7,2,6,21,2015-06-21
70,ARI,A,COL,L,5,10,NA,4.0,N,NA,2015,COL,ARI,10,5,6,23,2015-06-23
71,ARI,A,COL,W,8,7,NA,4.0,N,NA,2015,COL,ARI,7,8,6,24,2015-06-24
72,ARI,A,COL,L,4,6,NA,5.0,D,NA,2015,COL,ARI,6,4,6,25,2015-06-25
73,ARI,A,SDP,L,2,4,NA,6.0,N,NA,2015,SDP,ARI,4,2,6,26,2015-06-26
74,ARI,A,SDP,L,2,7,NA,6.0,N,NA,2015,SDP,ARI,7,2,6,27,2015-06-27
75,ARI,A,SDP,W,6,4,NA,6.0,D,NA,2015,SDP,ARI,4,6,6,28,2015-06-28
76,ARI,H,LAD,W,10,6,NA,5.0,N,NA,2015,ARI,LAD,10,6,6,29,2015-06-29
77,ARI,H,LAD,L,4,6,10,6.0,N,NA,2015,ARI,LAD,4,6,6,30,2015-06-30
78,ARI,H,LAD,L,3,4,NA,7.0,N,NA,2015,ARI,LAD,3,4,7,1,2015-07-01
79,ARI,H,COL,W,8,1,NA,6.5,N,NA,2015,ARI,COL,8,1,7,2,2015-07-02
80,ARI,H,COL,W-wo,4,3,10,5.5,N,NA,2015,ARI,COL,4,3,7,3,2015-07-03
81,ARI,H,COL,W,7,3,NA,5.5,N,NA,2015,ARI,COL,7,3,7,4,2015-07-04
82,ARI,H,COL,L,4,6,NA,5.5,D,NA,2015,ARI,COL,4,6,7,5,2015-07-05
83,ARI,A,TEX,W,4,2,NA,5.0,N,NA,2015,TEX,ARI,2,4,7,7,2015-07-07
84,ARI,A,TEX,W,7,4,NA,5.0,N,NA,2015,TEX,ARI,4,7,7,8,2015-07-08
85,ARI,A,NYM,L,2,4,NA,6.5,N,NA,2015,NYM,ARI,4,2,7,10,2015-07-10
